Days,Date,Total BTC,Market Cap,Count,Blocks last 24h,Blocks avg. per hour,Difficulty,Next Difficulty,Network Hashrate Terahashs,Network Hashrate PetaFLOPS,Price,Open,High,Low,Vol.,Change %
36,2013-09-30,11773225,1448106675,260928,162,6.75,148819200,167736156,1200.7,15248.92,141.9,143.9,145.8,138.1,14630,-1.38
37,2013-10-01,11778200,1454478140,261127,199,8.29,148819200,172461575,1234.53,15678.51,140.3,141.9,144.4,139.4,9570,-1.13
38,2013-10-02,11782625,1490502063,261304,165,6.88,148819200,175407958,1255.62,15946.36,123,140.3,141.9,109.7,111320,-12.33
39,2013-10-03,11787275,1485546850,261490,209,8.71,148819200,180003260,1288.51,16364.12,131,123,132,120.1,35270,6.5
40,2013-10-04,11792125,1610216673,261684,185,7.71,148819200,180809419,1294.28,16437.41,136.8,131,139.8,128.5,18510,4.45
41,2013-10-05,11797250,1408827595,261889,205,8.54,148819200,185765101,1329.76,16887.93,136.7,136.8,138,135.3,5000,-0.09
42,2013-10-06,11802325,1588711322,262092,203,8.46,189281249,189508867,1356.56,17228.28,137.8,136.7,138,134.1,4890,0.8
43,2013-10-07,11806400,1435304048,262255,158,6.58,189281249,192334089,1376.78,17485.12,135.8,137.8,139,135.1,7360,-1.45
44,2013-10-08,11810225,1440847450,262408,156,6.5,189281249,193935908,1388.25,17630.74,136.5,135.8,137.8,135.6,5230,0.51
45,2013-10-09,11814750,1450142415,262589,181,7.54,189281249,199983210,1431.54,18180.5,139.5,136.5,142.1,135.8,17490,2.21
46,2013-10-10,11819600,1477450000,262783,194,8.08,189281249,207474329,1485.16,18861.52,140.4,139.5,141.7,138.5,11080,0.65
47,2013-10-11,11824075,1655371682,262962,179,7.46,189281249,213781359,1530.31,19434.89,140.1,140.4,141.9,138.9,7250,-0.22
48,2013-10-12,11828850,1506522336,263153,191,7.96,189281249,218249599,1562.29,19841.1,142.9,140.1,143.1,139.4,11020,1.99
49,2013-10-13,11834600,1705484679,263383,230,9.58,189281249,229718335,1644.39,20883.73,147.5,142.9,147.6,141.5,16170,3.25
50,2013-10-14,11840650,1794998848,263625,242,10.08,189281249,241101007,1725.87,21918.53,151.4,147.5,153.7,146,29990,2.6
51,2013-10-15,11847050,1581581175,263881,257,10.71,189281249,255870066,1831.59,23261.18,158.1,151.4,158.1,150.6,15730,4.44
52,2013-10-16,11853025,1659423500,264120,239,9.96,267731249,267638131,1915.83,24331.02,152.8,158.1,163,144.2,42780,-3.33
53,2013-10-17,11857300,1824838589,264291,171,7.13,267731249,280787535,2009.96,25526.43,157.6,152.8,159.9,150.8,15880,3.12
54,2013-10-18,11861525,1719921125,264460,169,7.04,267731249,291576446,2087.19,26507.26,168.3,157.6,168.3,156.5,25890,6.78
55,2013-10-19,11867075,1886864925,264682,222,9.25,267731249,310509006,2222.71,28228.42,183.1,168.3,195.8,167.1,55280,8.84
56,2013-10-20,11872525,1870492569,264900,218,9.08,267731249,328544847,2351.82,29868.06,186.1,183.1,186.1,177.2,11420,1.61
57,2013-10-21,11877375,2078540625,265094,194,8.08,267731249,341049555,2441.33,31004.86,192.8,186.1,197.4,183.2,24100,3.59
58,2013-10-22,11883900,2181884040,265355,245,10.21,267731249,360002245,2577,32727.85,203,192.8,205.5,192.8,33870,5.3
59,2013-10-23,11886450,2269717628,265457,109,4.54,267731249,364626526,2610.1,33148.25,228,203,228,200.7,39900,12.31
60,2013-10-24,11886450,2351734133,265457,0,0,267731249,364626526,2610.1,33148.25,207,228,233.4,175.3,96750,-9.21
61,2013-10-25,11900000,1935665900,265999,229,9.54,267731249,384453437,2752.02,34950.72,197.9,207,209,176.6,36750,-4.4
62,2013-10-26,11905375,2044914832,266214,217,9.04,390928788,400899789,2869.75,36445.86,188.6,197.9,198.4,187,12090,-4.71
63,2013-10-27,11906050,2110942665,266241,26,1.08,390928788,404417708,2894.93,36765.67,206.9,188.6,207.8,188.9,13160,9.73
64,2013-10-28,11914225,2244639990,266568,178,7.42,390928788,430653030,3082.73,39150.73,206.9,206.9,209.8,200.4,11070,0
65,2013-10-29,11918100,2313899115,266723,155,6.46,390928788,432944385,3099.14,39359.04,216,206.9,216.5,204.2,10020,4.4
66,2013-10-30,11922800,2348791600,266911,188,7.83,390928788,442669081,3168.75,40243.11,208,216,216.5,204,13470,-3.7
67,2013-10-31,11928025,2337034082,267120,208,8.67,390928788,462232382,3308.79,42021.61,211.2,208,215,205.4,5290,1.52
68,2013-11-01,11932875,2365692469,267314,194,8.08,390928788,469766656,3362.72,42706.55,213.4,211.2,214.9,209.7,5880,1.07
69,2013-11-02,11938475,2384686504,267538,216,9,390928788,488062296,3493.69,44369.81,211.7,213.4,214.9,211,4880,-0.82
70,2013-11-04,11947925,2759970675,267916,195,8.13,390928788,508043527,3636.72,46186.31,238.2,224,239,221.9,18060,6.32
71,2013-11-05,11952525,2831541220,268100,171,7.13,390928788,510715537,3655.84,46429.22,251.3,238.2,258.9,229,45100,5.52
72,2013-11-06,11956525,2938913845,268260,160,6.67,510929738,517427734,3703.89,47039.43,264.1,251.3,272.5,251.4,38820,5.09
73,2013-11-07,11960400,3423664500,268415,157,6.54,510929738,523265745,3745.68,47570.16,309.6,264.1,324.2,263.6,86130,17.25
74,2013-11-08,11963900,3637025600,268555,140,5.83,510929738,523392012,3746.59,47581.64,355,309.6,358,308,44630,14.65
75,2013-11-09,11967300,4577492250,268691,136,5.67,510929738,525179508,3759.38,47744.14,367.8,355,395,340,49910,3.6
76,2013-11-10,11970550,3256588128,268821,128,5.33,510929738,532080130,3808.78,48371.48,336.3,367.8,372.5,290,74250,-8.56
77,2013-11-11,11976400,3665496984,269055,195,8.13,510929738,548925997,3929.37,49902.94,363,336.3,376,321.4,18000,7.93
78,2013-11-12,11981150,4043027086,269245,190,7.92,510929738,559640072,4006.06,50876.96,380,363,391.8,359,22030,4.7
79,2013-11-13,11985850,4986113600,269433,188,7.83,510929738,566705434,4056.64,51519.27,434.9,380,445,372.2,36020,14.42
80,2013-11-14,11989950,5275578000,269597,164,6.83,510929738,570601881,4084.53,51873.5,433.4,434.9,447.5,402.5,31410,-0.33
81,2013-11-15,11994000,5156220600,269759,162,6.75,510929738,572888192,4100.89,52081.35,433.9,433.4,457.9,413,28130,0.12
82,2013-11-16,11999150,5040074969,269965,200,8.33,510929738,587985546,4208.96,53453.85,462,433.9,476.9,428,19140,6.46
83,2013-11-17,12003775,5485725175,270150,195,8.13,609482680,605823674,4336.65,55075.52,528.3,462,536.8,457,26720,14.36
84,2013-11-18,12007900,6695376890,270315,162,6.75,609482680,615751655,4407.72,55978.07,785.4,528.3,787.9,522,72070,48.67
85,2013-11-19,12011675,7110971658,270466,151,6.29,609482680,628278666,4497.39,57116.9,645.7,785.4,900.9,502.6,99100,-17.79
86,2013-11-20,12015975,5947907625,270638,172,7.17,609482680,653184028,4675.67,59381.05,638,645.7,650,453.3,91590,-1.2
87,2013-11-21,12019650,7392084750,270785,144,6,609482680,658804935,4715.91,59892.05,764.9,638,784.3,595.2,38730,19.9
88,2013-11-22,12024000,8348263200,270959,163,6.79,609482680,665505986,4763.88,60501.24,802,764.9,822,682.3,30150,4.85
89,2013-11-23,12027975,9008953275,271118,173,7.21,609482680,668103844,4782.47,60737.41,832.5,802,890,799.5,21310,3.8
90,2013-11-24,12032075,8810330502,271282,164,6.83,609482680,668269618,4783.66,60752.49,795,832.5,855,745.2,25950,-4.5
91,2013-11-25,12036750,9818256608,271469,175,7.29,609482680,678639340,4857.89,61695.2,830,795,850,759,26380,4.4
92,2013-11-26,12040725,9789121466,271628,168,7,609482680,684642681,4900.86,62240.96,970,830,975,825.1,31610,16.86
93,2013-11-27,12044650,11056988700,271785,157,6.54,609482680,693778251,4966.26,63071.48,1079.9,970,1094.8,914.3,37860,11.33
94,2013-11-28,12049325,11808338500,271972,187,7.79,609482680,700656712,5015.5,63696.8,1101.4,1079.9,1224.5,1032.1,37400,1.99
95,2013-11-29,12053900,12114169500,272155,183,7.63,609482680,704722396,5044.6,64066.41,1206.9,1101.4,1241.9,1050,38710,9.58
96,2013-11-30,12057825,12540138000,272312,157,6.54,707408283,713734387,5109.11,64885.69,1205.7,1206.9,1232.9,1150.2,15100,-0.11
97,2013-12-01,12062725,12062725000,272508,194,8.08,707408283,739734319,5295.22,67249.35,1004.4,1205.7,1216.8,840.3,79920,-16.69
98,2013-12-02,12067125,10836278250,272684,176,7.33,707408283,755676782,5409.35,68698.68,1096.6,1004.4,1117.7,975,37050,9.18
99,2013-12-03,12072450,12102751850,272897,192,8,707408283,781732469,5595.86,71067.41,1154.9,1096.6,1185.6,1064.9,19340,5.32
100,2013-12-04,12076200,12583762686,273047,180,7.5,707408283,793524423,5680.27,72139.42,1237.6,1154.9,1239.7,1131.3,16300,7.16
101,2013-12-05,12080550,12926188500,273221,173,7.21,707408283,805421159,5765.43,73220.95,1106.3,1237.6,1239.9,870,58440,-10.6
102,2013-12-06,12085500,11142831000,273419,200,8.33,707408283,828132225,5928,75285.62,845,1106.3,1118.9,800.1,53520,-23.62
103,2013-12-07,12090425,8838100675,273616,197,8.21,707408283,851955394,6098.53,77451.39,697,845,896,576,97660,-17.51
104,2013-12-08,12095075,8806544937,273802,180,7.5,707408283,874743834,6261.66,79523.09,804,697,829,653,31210,15.34
105,2013-12-09,12099775,10772550801,273990,198,8.25,707408283,889700644,6368.73,80882.81,919,804,980,787.7,27630,14.3
106,2013-12-10,12105050,11076120750,274201,197,8.21,908350862,915460783,6553.12,83224.67,1033.7,919,1067.7,912,22100,12.49
107,2013-12-11,12108825,10856167054,274352,166,6.92,908350862,931884465,6670.69,84717.75,919.9,1033.7,1056.8,856.1,24360,-11.01
108,2013-12-12,12113075,10393018229,274522,168,7,908350862,941196819,6737.35,85564.34,900,919.9,941,839.5,9910,-2.17
109,2013-12-13,12117125,10927223083,274684,165,6.88,908350862,954527169,6832.77,86776.2,936.8,900,989.9,882.1,17370,4.09
110,2014-01-07,12228075,11983635781,279122,184,7.67,1418481395,1533476671,10977.05,139408.58,879.9,1012.7,1044,879.8,22670,-13.11
111,2014-01-08,12232775,10104259917,279310,188,7.83,1418481395,1569820049,11237.21,142712.56,938.8,879.9,966.9,858.9,14100,6.7
112,2014-01-09,12237700,9741086823,279507,190,7.92,1418481395,1622486284,11614.21,147500.46,937,938.8,964.6,866.5,14420,-0.2
113,2014-01-10,12242650,11219636904,279705,196,8.17,1418481395,1684500045,12058.12,153138.14,957.8,937,964.8,905.9,6350,2.22
114,2014-01-13,12257300,9975861008,280291,202,8.42,1789546951,1825072046,13064.37,165917.56,922.9,939.8,949.2,879.9,10130,-1.8
115,2014-01-15,12266575,11640979675,280662,168,7,1789546951,1948676817,13949.17,177154.48,941.2,919.3,973.1,915.1,6830,2.39
116,2014-01-16,12271675,11347063806,280866,200,8.33,1789546951,2002451788,14334.11,182043.17,913.5,941.2,955.5,910.5,5100,-2.95
117,2014-01-17,12275475,9740626239,281018,151,6.29,1789546951,2013434441,14412.73,183041.61,894.2,913.5,929.8,867.2,10310,-2.12
118,2014-01-18,12279825,9876172055,281192,172,7.17,1789546951,2041380193,14612.77,185582.16,905.7,894.2,924.7,884.7,6040,1.29
119,2014-01-19,12284275,10159095425,281370,178,7.42,1789546951,2063658179,14772.24,187607.46,954.8,905.7,958.1,901.9,7570,5.42
120,2014-01-20,12286925,10247860649,281476,171,7.13,1789546951,2079754144,14887.46,189070.74,956,954.8,980.5,926,10410,0.12
121,2014-01-21,12293375,10062127438,281734,167,6.96,1789546951,2116813675,15152.74,192439.83,962.2,956,974.3,943.2,6590,0.65
122,2014-01-22,12297900,10120483018,281915,191,7.96,1789546951,2145660564,15359.24,195062.3,951,962.2,973.9,935,4780,-1.17
123,2014-01-23,12302500,10013952043,282099,184,7.67,1789546951,2174473081,15565.48,197681.65,944.2,951,958.1,936.3,1970,-0.71
124,2014-01-24,12306575,9542850533,282262,192,8,2193847870,2201367074,15758,200126.59,916.5,944.2,949.5,902.9,6200,-2.92
125,2014-01-25,12310800,9971871108,282431,155,6.46,2193847870,2230608845,15967.32,202784.96,961,916.5,978.4,915.9,8180,4.86
126,2014-01-26,12314450,10159421250,282577,156,6.5,2193847870,2269103687,16242.88,206284.54,1007,961,1038.1,950.7,13070,4.78
127,2014-01-27,12318525,9869910193,282740,164,6.83,2193847870,2282857943,16341.33,207534.94,943.5,1007,1021.5,937.2,8330,-6.3
128,2014-01-28,12321150,9171864060,282845,180,7.5,2193847870,2297915538,16449.12,208903.83,932.7,943.5,972.6,911.7,10410,-1.15
129,2014-01-29,12326600,11463737877,283063,159,6.63,2193847870,2347203675,16801.94,213384.62,925.7,932.7,950.6,918.9,5680,-0.75
130,2014-01-30,12330675,9827547975,283226,160,6.67,2193847870,2370906513,16971.61,215539.45,941.4,925.7,953.2,909.5,5430,1.7
131,2014-01-31,12333625,9908834325,283344,119,4.96,2193847870,2395200054,17145.51,217747.97,938.8,941.4,954.7,924.6,4310,-0.27
132,2014-02-01,12333625,11840141247,283344,0,0,2193847870,2395200054,17145.51,217747.97,940.4,938.8,969.2,927.8,4370,0.17
133,2014-02-02,12333625,11692276500,283344,0,0,2193847870,2395200054,17145.51,217747.97,953.3,940.4,959.4,934.4,1580,1.37
134,2014-02-03,12349425,10138877925,283976,193,8.04,2193847870,2573575386,18422.37,233964.1,931.7,953.3,959.6,931.7,2790,-2.27
135,2014-02-04,12353650,11394651840,284145,170,7.08,2193847870,2602991560,18632.94,236638.33,926.6,931.7,949.1,900.8,4610,-0.54
136,2014-02-05,12358625,9808051973,284344,173,7.21,2621404453,2641403006,18907.9,240130.32,904.5,926.6,939.8,890,7560,-2.39
137,2014-02-06,12362050,9604076645,284481,167,6.96,2621404453,2675410121,19151.33,243221.91,828.9,904.5,908.8,800.9,18600,-8.36
138,2014-02-07,12366075,8940672225,284642,161,6.71,2621404453,2728000820,19527.79,248002.94,695.7,828.9,833.1,651.7,49910,-16.07
139,2014-02-08,12370775,8834799269,284830,176,7.33,2621404453,2787646102,19954.75,253425.3,648.8,695.7,719.3,632.1,22880,-6.74
140,2014-02-09,12374600,8601213309,284983,158,6.58,2621404453,2831430598,20268.17,257405.76,659.6,648.8,694.1,622.5,19890,1.66
141,2014-02-10,12378300,8331833730,285131,151,6.29,2621404453,2872334890,20560.97,261124.37,582.6,659.6,700,500,40130,-11.67
142,2014-02-11,12382475,8566196205,285298,166,6.92,2621404453,2892528130,20705.52,262960.14,579,582.6,609.7,550.2,16730,-0.63
143,2014-02-12,12386450,8063566564,285457,160,6.67,2621404453,2902244859,20775.08,263843.49,531.1,579,585.1,511.9,21300,-8.26
144,2014-02-13,12391200,7755652080,285647,182,7.58,2621404453,2937730603,21029.09,267069.5,451.4,531.1,549.2,451.3,28940,-15
145,2014-02-14,12395775,8325981756,285830,183,7.63,2621404453,2988243477,21390.68,271661.64,427.7,451.4,500,302.2,65820,-5.26
146,2014-02-15,12400425,7899083125,286016,184,7.67,2621404453,3024789763,21652.29,274984.06,371.1,427.7,447.9,310.1,50620,-13.24
147,2014-02-16,12405100,7753187500,286203,191,7.96,2621404453,3118115694,22320.34,283468.34,299.8,371.1,540,220.4,86180,-19.21
148,2014-02-18,12411025,7780471573,286440,147,6.13,3129573175,3162608384,22638.83,287513.17,294,272.3,370.1,248.3,48880,7.96
149,2014-02-19,12418150,7568390535,286725,187,7.79,3129573175,3298740036,23613.3,299888.92,261.5,294,308.6,257.2,31500,-11.03
150,2014-02-20,12422650,7143396430,286905,177,7.38,3129573175,3335639978,23877.44,303243.5,111.9,261.5,271.6,109.2,102180,-57.21
151,2014-02-21,12426075,1563746982,287042,139,5.79,3129573175,3436707924,24600.91,312431.6,111.6,111.9,160.1,91.7,82590,-0.32
152,2014-02-22,12426075,7256827800,287042,0,0,3129573175,3436707924,24600.91,312431.6,255.6,111.6,290.6,96.7,72170,129.11
153,2014-02-23,12426075,7579905750,287042,0,0,3129573175,3436707924,24600.91,312431.6,310.2,255.6,349.1,220.3,38550,21.35
154,2014-02-24,12440050,7212118988,287601,191,7.96,3129573175,3643343521,26080.07,331216.87,174,310.2,316.9,131.9,95120,-43.9
155,2014-02-25,12443425,6719449500,287736,131,5.46,3129573175,3682258009,26358.63,334754.6,135.8,174,174.6,102.3,30430,-21.97
156,2014-02-26,12448775,7220662963,287950,179,7.46,3129573175,3740552908,26775.92,340054.19,593.1,135.8,650,522.8,600,336.84
157,2014-02-27,12453425,6973918000,288136,185,7.71,3129573175,3764659760,26948.48,342245.75,596.5,593.1,629.9,580.5,500,0.56
158,2014-02-28,12457975,7474785000,288318,182,7.58,3815723799,3817432590,27326.25,347043.34,573.9,596.5,599,570,510,-3.78
159,2014-03-01,12461700,6790380330,288467,155,6.46,3815723799,3891012076,27852.95,353732.46,557.4,573.9,564.1,262.8,400,-2.88
160,2014-03-02,12465175,6917922822,288606,144,6,3815723799,3889485715,27842.02,353593.7,544.6,557.4,562.9,541.5,830,-2.3
161,2014-03-03,12468875,7493793875,288754,147,6.13,3815723799,3857918964,27616.06,350723.96,662.2,544.6,695.4,545.4,1260,21.6
162,2014-03-04,12472450,8294179250,288897,140,5.83,3815723799,3837655351,27471.01,348881.79,661.8,662.2,686.2,645.2,1370,-0.05
163,2014-03-06,12477675,9449717608,289106,156,6.5,3815723799,3920301151,28062.61,356395.13,648.3,658.3,661.8,636.2,2070,-1.53
164,2014-03-07,12484650,7743254592,289385,172,7.17,3815723799,4018542564,28765.85,365326.27,616.7,648.3,655.2,600.3,2340,-4.86
165,2014-03-11,12500025,7812815626,290000,151,6.29,3815723799,4170509971,29853.67,379141.65,608.7,613,619.7,599.9,2430,-0.7
166,2014-03-12,12505700,7906478711,290227,170,7.08,3815723799,4233631394,30305.51,384880.03,619.4,608.7,640.8,608.2,3200,1.76
167,2014-03-13,12509950,7857324456,290397,173,7.21,4250217920,4271355145,30575.55,388309.5,625,619.4,636.1,616.1,3410,0.91
168,2014-03-14,12513400,7808361600,290535,135,5.63,4250217920,4291293888,30718.28,390122.13,614,625,631.2,610.6,4000,-1.76
169,2014-03-15,12517750,7861147000,290709,174,7.25,4250217920,4399910254,31495.78,399996.46,624,614,628.8,609.2,3460,1.63
170,2014-03-16,12521750,7777258925,290869,157,6.54,4250217920,4474095417,32026.82,406740.65,619.1,624,627.3,613.2,3300,-0.78
171,2014-03-18,12529375,7830859375,291174,144,6,4250217920,4574010518,32742.04,415823.94,598.9,606.4,611.7,585.7,3650,-1.23
172,2014-03-19,12533650,7645526500,291345,153,6.38,4250217920,4571704463,32725.54,415614.3,595,598.9,607.1,590.1,3580,-0.66
173,2014-03-20,12537750,7127460120,291509,160,6.67,4250217920,4589632171,32853.87,417244.11,566,595,598.4,560.3,4240,-4.87
174,2014-03-21,12542550,7014170237,291701,186,7.75,4250217920,4672465143,33446.81,424774.47,549.6,566,587.4,540.2,3820,-2.9
175,2014-03-22,12546675,6839067076,291866,175,7.29,4250217920,4726786252,33835.65,429712.81,564.3,549.6,570,537.2,3770,2.68
176,2014-03-23,12551800,7153270820,292071,205,8.54,4250217920,4885193814,34969.58,444113.66,551.2,564.3,564.3,538.6,4130,-2.34
177,2014-03-24,12556725,6879076224,292268,196,8.17,4250217920,5014971787,35898.57,455911.79,567.6,551.2,572.5,531.3,3670,2.98
178,2014-03-25,12560650,7031703083,292425,153,6.38,5006860589,5034598834,36039.06,457696.09,562.9,567.6,569.7,550.4,3870,-0.82
179,2014-03-26,12564650,8147421646,292585,160,6.67,5006860589,5162343423,36953.49,469309.37,562.5,562.9,575.4,546.3,3710,-0.08
180,2014-03-27,12568575,6601078433,292742,158,6.58,5006860589,5203761737,37249.98,473074.71,460.5,562.5,567.8,460.5,3780,-18.13
181,2014-03-29,12575900,6118804145,293035,167,6.96,5006860589,5357808440,38352.69,487079.12,477.1,482.6,494.3,473.8,4290,-1.14
182,2014-03-30,12581275,5781058119,293250,158,6.58,5006860589,5537806416,39641.16,503442.76,446.9,477.1,479,424,3860,-6.33
183,2014-03-31,12585475,5900070680,293418,165,6.88,5006860589,5612392369,40175.07,510223.38,444.7,446.9,473.4,422.5,4150,-0.51
184,2014-04-01,12590025,6206882325,293600,182,7.58,5006860589,5731245038,41025.85,521028.3,463.5,444.7,487.4,438,3970,4.23
185,2014-04-02,12594625,5692858662,293784,184,7.67,5006860589,5787910549,41431.48,526179.76,424.4,463.5,480.3,409.3,4380,-8.43
186,2014-04-03,12600025,5413852742,294000,210,8.75,5006860589,5946666441,42567.9,540612.29,436.3,424.4,448.7,386.7,4020,2.81
187,2014-04-04,12604975,5563709915,294198,198,8.25,5006860589,6080389152,43525.12,552769.04,444.4,436.3,456.5,415.5,2570,1.85
188,2014-04-05,12609250,5745795649,294369,182,7.58,6119726089,6130591082,43884.48,557332.9,456.6,444.4,461.2,439.4,1160,2.76
189,2014-04-06,12612925,5764106725,294516,145,6.04,6119726089,6203148537,44403.87,563929.11,455.7,456.6,472.4,446.3,3590,-0.21
190,2014-04-07,12616700,5841279766,294667,146,6.08,6119726089,6250789797,44744.9,568260.18,462.4,455.7,485.1,448,3950,1.47
191,2014-04-08,12620225,5645152845,294808,144,6,6119726089,6288589435,45015.48,571696.55,466.6,462.4,480.7,457.6,3910,0.9
192,2014-04-09,12624150,5579849052,294965,157,6.54,6119726089,6311363348,45178.5,573766.93,457.3,466.6,479.7,451.1,3880,-1.98
193,2014-04-10,12628300,4975550200,295131,168,7,6119726089,6405748396,45854.13,582347.49,384.6,457.3,463.5,384.6,3650,-15.9
194,2014-04-11,12632125,5340862450,295284,151,6.29,6119726089,6506401290,46574.63,591497.86,435.1,384.6,450.4,355.7,5160,13.13
195,2014-04-12,12636200,5540215528,295447,158,6.58,6119726089,6581219601,47110.2,598299.6,437.6,435.1,469.8,428,5190,0.58
196,2014-04-13,12640975,5125915363,295638,195,8.13,6119726089,6766888569,48439.28,615178.79,427.6,437.6,454.1,409.9,4970,-2.3
197,2014-04-14,12644900,5707402064,295795,157,6.54,6119726089,6851052520,49041.74,622830.15,478.4,427.6,497.8,420.1,7620,11.88
198,2014-04-15,12644900,6311145459,295795,0,0,6119726089,6851052520,49041.74,622830.15,526.4,478.4,526.6,466.4,8000,10.04
199,2014-04-16,12644900,6461543900,295795,0,0,6119726089,6851052520,49041.74,622830.15,537,526.4,549,496.1,8060,2
200,2014-04-17,12658575,6392580375,296342,175,7.29,6119726089,6964211896,49851.77,633117.49,502,537,537,486.9,8000,-6.51
201,2014-04-18,12662400,5938665600,296495,153,6.38,6978842650,7071527525,50619.97,642873.57,485.5,502,512.2,472,8360,-3.28
202,2014-04-19,12666400,6118631184,296655,160,6.67,6978842650,7173445721,51349.52,652138.96,506,485.5,516.9,473.2,8380,4.22
203,2014-04-20,12670825,6257993759,296832,175,7.29,6978842650,7416268113,53087.72,674213.98,498.5,506,522.2,488.7,7690,-1.48
204,2014-04-21,12675125,6337182246,297004,172,7.17,6978842650,7582685361,54278.98,689343,495.2,498.5,524.7,490.7,7350,-0.67
